user,userid
Asmitghosh3,36756510.0
Ivanbetanco43,39131693.0
SlyGuyFox,35995251.0
JarrahTree,278097.0
DocWatson42,38455.0
AntiRaceshifitng,42132401.0
III69,42012552.0
CatchedY,39310652.0
DrKay,2387872.0
Shhhnotsoloud,11521989.0
Sdkb,13006032.0
Rebachaalog,42139915.0
Adnan nijhum,41603374.0
Centcom08,38234991.0
Dan arndt,2298426.0
John B123,21715336.0
C1MM,31159925.0
Tassienelson,4865630.0
Mfarazjf17,42033214.0
Nath2081,42131660.0
Hkb100,40378424.0
DoubleGrazing,2386927.0
Nafis Fuad Ayon,39828248.0
WeKnight,42140036.0
Werldwayd,4571676.0
Nigej,2961577.0
Dale Arnett,25667.0
Sundostund,12014816.0
Canley,380571.0
Tom-expathub,40495838.0
Polyarch,36498686.0
Nizil Shah,7062582.0
ExRat,310363.0
Álpha Guru,42097662.0
Artoria2e5,18040497.0
Puppies937,42002101.0
TheEagle107,33013896.0
Jonathan A Jones,1066098.0
Strattonsmith,40982560.0
Saisønisse,31965832.0
Erincoktem,35835006.0
CLOTRTD,42140053.0
Apparition11,6046731.0
Grbextreme,42111399.0
Kidsoljah,27571908.0
Sandal God,36430577.0
Kingjezza,5874683.0
Lugnuts,1276024.0
Ningsih ODINN,41387198.0
Canadamax,42140001.0
Kerry Raymond,300735.0
Usernameunique,27232197.0
Centaur271188,26112263.0
Statshist,41783210.0
Claederis17,41611487.0
Liviulord,23351937.0
Harry Audus,11126259.0
Rodw,125972.0
Jairon Levid Abimael Caál Orozco,14824436.0
BarrelProof,13560851.0
PamD,1368779.0
IronMaximus,36804520.0
Jasper0333,36361104.0
Doremo,9337959.0
Ethan2345678,40953380.0
Kylesenior,6231464.0
Elfix,7447370.0
Inda19712003,40613487.0
Zulfadli51,14351092.0
Qby,15349585.0
10mmsocket,41219559.0
Niterurea,41992361.0
BiggySmoov,10941947.0
Cck19881009,41743778.0
GUtt01,17812083.0
Wainuiomartian,14430230.0
The k nine 2,39702014.0
EVhotrodder,41888791.0
MattGiuca,167610.0
Nicholas Michael Halim,34881439.0
Gpkp,8531003.0
KyloRen3,40134485.0
Orahumaira,42091372.0
CentreLeftRight,23551833.0
Dev Adhi,40068163.0
Roniroy1234,42139981.0
FloorMadeOuttaFloor,40581419.0
SWP13,19806233.0
Saltylad,33744234.0
Dillon251992,29762726.0
Gianluigi02,28363939.0
Tayi Arajakate,38321710.0
Mommy Debby,42129786.0
Cherurbino,12316575.0
TR6824,40225157.0
ChrisTheDude,625916.0
Agastya17,38096598.0
Xedophobic,36153704.0
Dushan Jugum,114198.0
FDW777,34646063.0
Emeraude,2283104.0
Philip Cross,124152.0
Nialarfatem,41569543.0
Pahunkat,35522111.0
Sukhjeet04,36606242.0
3E1I5S8B9RF7,31375361.0
Cantsayhellotoyou,42061753.0
EdwardUK,28516722.0
Hexcodes,40151277.0
Ireadbooks12,41748919.0
Rulesfan,1834392.0
Thechrisnat,39399755.0
Nova9758,16587400.0
Dongkarlo,31861450.0
Heroeswithmetaphors,1534529.0
GalactosemiaAtaxia,41994254.0
FromCzech,36336112.0
Sabbatino,19992876.0
Agriculturalengineer96,34489323.0
Pjesnik21,19958664.0
Jellywings19,41160346.0
Bhargavkc0089,38691763.0
Inhighspeed,322290.0
Agyaanapan,41972457.0
Lektor w,18242507.0
愛子棋枰,40721484.0
Klueng,39642840.0
Egghead06,3004667.0
Goswami21,36982088.0
Markussep,96340.0
Ichthyovenator,30107645.0
EditWiki45,42139417.0
Kante4,10371471.0
EricSDA,41924496.0
StayGoId,33852335.0
JoeBrar,42140012.0
Perchrh,30333663.0
Murray Langton,25895.0
Ganbaruby,15242876.0
ShubhanTelang,38836960.0
Doogooder,29693928.0
Reidlos,2861552.0
Tautomers,34356502.0
Vagabond nanoda,37017085.0
Samvoigt,35135852.0
Andrewrabbott,745492.0
Llywrch,5094.0
Mztourist,11292517.0
ImSnot,37324973.0
آرمین هویدایی,23037678.0
Tea2min,36029.0
Carnby,766861.0
Ionel141,19385613.0
Therealsleepycat,11972916.0
Banerjen,4950575.0
Nonevernonebrjid,42139886.0
Foxtrot2021,41109848.0
Annaoue,36460133.0
Rishav2014,37342528.0
Quale,205204.0
Explicit,4842600.0
MasterControlMaster13,36548704.0
Darcourse,16944068.0
Fayenatic london,1639942.0
Arbalest Mike,8294597.0
Pachu Kannan,40934158.0
EDI1875,42124073.0
Kuatrero,39904038.0
Dr. Mwenda,36269888.0
Shivkarandholiya12,31332431.0
CS Subham,42106036.0
American Money,19480448.0
ARKTAK,40319506.0
Pancho507,23914831.0
Glottran,37134054.0
Nitesh003,40824269.0
Chuachenchie,40597638.0
WOSlinker,3138265.0
ChrisGultieri,36153355.0
MRSC,66197.0
Fabrickator,8660314.0
Rusted AutoParts,13076088.0
Simarut Lapisatepun,16901067.0
Sekyaw,26475347.0
Jfect22,39153605.0
GrapefruitSculpin,28050303.0
বাক্যবাগীশ,33192021.0
LéKashmiriSocialiste,39230584.0
Kyle Peake,33639943.0
Grubcrawl,36748000.0
Lettler,38890092.0
Moka Mo,22227837.0
Armegon,18805198.0
Santiago Claudio,20166360.0
Excellenc1,39043895.0
Tjej,17822200.0
Tom O'Meara,34838249.0
Arfrever,1460950.0
Hiddenstranger,11241628.0
Reddog78,34220335.0
Emmanuel Obiajulu,41144268.0
Outboxcreative21,42139936.0
Hornstrandir1,34779334.0
PostcolonialLitNerd,37197261.0
ShadZ01,18488491.0
Montell 74,10270558.0
Mjroots,408438.0
Fatpig73,23570705.0
Monkeycheetah,571914.0
Mathglot,2544398.0
VNC200,41121205.0
Philoserf,548440.0
Accireioj,23584797.0
Tserton,2147470.0
BasketballFan411,40585722.0
YoungForever,4751563.0
Prince Silversaddle,22062585.0
Srich32977,8372814.0
Kku,5846.0
Silaslej,21702971.0
SQGibbon,861016.0
RBut,41986666.0
Soap Boy 1,40325361.0
Haddarr,42047168.0
TimyReading,36302531.0
Longhair,99037.0
ImSonyR9,27209685.0
Dddenilson,31482225.0
Carlwev,1884307.0
Raphael1256,32000187.0
Keivan.f,14604687.0
!NewLondon31,17707870.0
Benjarviskalp,40900493.0
Br Ibrahim john,40287609.0
Hladnikm,8929267.0
Coolmarc,20898270.0
Striker2020,39252742.0
Benz07,40308892.0
Mili977,31189892.0
Newfraferz87,7124463.0
MRRaja001,34689193.0
Raleigh80Z90Faema69,33280910.0
Rafael obeng cassano,41971168.0
Uses x,29246153.0
Ham105,19149133.0
KHUNT MILANKUMAR CHHABILBHAI,35145104.0
Rockysmile11,1141720.0
Someone who likes train writing,38667955.0
Robert McClenon,318807.0
Dirkk 123,37165994.0
PohranicniStraze,13080272.0
CMMS33,42139811.0
Erezkv,42139987.0
Samhama,42139610.0
Axl7Rose,33214791.0
Abductive,9719271.0
Simeon,1189543.0
Ron Clausen,30162703.0
ShallowGull,40302306.0
Bhaskarbhagawati,5615802.0
Reader781,393756.0
Htmlzycq,18164163.0
Mirokado,523968.0
Ken Tony,40281154.0
Picsovina,26141547.0
Justanothersgwikieditor,1574590.0
Woodlandscaley,15510948.0
FMSky,40943757.0
Kenneth Zeran,42139965.0
Carlossfsu,8819542.0
Ktlyml,42139867.0
OneMoreByte,39677086.0
Pakbelang,14448901.0
Prashanthsphyr,42139988.0
BilCat,2043601.0
Shaji.tu,16068427.0
Taksen,1836221.0
LukeEmily,39767842.0
NewManila2000,28612597.0
Ellywa,7540.0
Pbsouthwood,10044298.0
Chaetodipus,4017383.0
TJD2,7667485.0
Ominae,456858.0
MariaAmaliaduchessadiParma,40403625.0
ElDudederino,39323016.0
12think,40795231.0
JohnnyBflat,37812451.0
Quacelinz3,42114480.0
Cremebetweens,35986883.0
OpenNotes1,38484004.0
Sangdeboeuf,22831189.0
Rockcodder,42111317.0
Blahhh23,29687795.0
Roundtheworld,9163482.0
ปฏิวัติ ปวนจีน,24746815.0
Piotrus,59002.0
Yuyutsu Ho,37458563.0
Shawnasativa,9227931.0
Merry medievalist,26302987.0
Chockys,7293925.0
Oceanh,719157.0
Cinderella157,21604566.0
Shubhamjewels,42139962.0
Sonal Mathew,40903107.0
PlayPus2,31860458.0
YBG,8297125.0
Szceli,6239784.0
CiphriusKane,40028656.0
Salvapdivad,37448781.0
Sumanuil,31876559.0
Schnitzelking,35951765.0
Segavisions1991,28555491.0
SuperJew,9582401.0
Anton.bersh,28114120.0
Shahroz Akhtar,42103537.0
RockyTheFox,39854830.0
PLUS ULTRA CARLOS,40411605.0
Mccapra,12109628.0
Padavalamkuttanpilla,36364864.0
Reordcraeft,23997694.0
Estopedist1,13892613.0
ShelfSkewed,1152308.0
Pathawi,233139.0
Fintor,69488.0
Birdienest81,6381306.0
Alphalfalfa,30741433.0
Edmund Takagi,41724960.0
GorgeCustersSabre,8556143.0
SanLeone,38852987.0
Noel baran,8138247.0
Jennaiowan,42057202.0
RomeoTheLynx,41160437.0
Thosbsamsgom,39508321.0
Omeoe,10560860.0
Innisfree987,26121454.0
Cnilep,3729738.0
Steelers3814,19032681.0
Nexus000,20212957.0
Yaakovaryeh,19857490.0
DH85868993,2824367.0
Mandharam,37043587.0
Ketil3,390524.0
KyleJoan,6303058.0
Valliappan Kannappan,41779686.0
Czello,8771785.0
হিমসাগর,42139378.0
BernexN,40372096.0
Maidyouneed,39531415.0
Yeeno,16635116.0
GiofanniRahman,32901089.0
PPP001,35996540.0
Ab.Saleem,37191947.0
JosephAssisFernandes,34061660.0
Edgar Searle,30015042.0
Davide King,18916437.0
Dippiljemmy,31410054.0
Ptrump16,32423067.0
Arminden,15244483.0
Evadeco,39994976.0
RayneVanDunem,12934447.0
আকাশ নাথ সরকার,41507902.0
Egeymi,16490385.0
Peacemaker67,15690513.0
I ame shears,41850215.0
Hongqilim,23594469.0
